user_name,user_at,user_url,user_avatar_url,date,text,images_url,replys,reposts,quotes,likes,post_url
Duolingo Brasil 🇧🇷,@DuolingoBrasil,https://nitter.net/DuolingoBrasil,https://nitter.net/pic/profile_images%2F1904247422626283520%2FCsUPacWT_bigger.jpg,"Apr 30, 2025 · 6:10 PM UTC","Pode vir, gorila frangote 💪",['https://nitter.net/pic/orig/media%2FGpzVu_jW0AA7-wB.png'],156,118,50,"8,157",https://nitter.net/DuolingoBrasil/status/1917642680600797518#m
Duolingo Brasil 🇧🇷,@DuolingoBrasil,https://nitter.net/DuolingoBrasil,https://nitter.net/pic/profile_images%2F1904247422626283520%2FCsUPacWT_bigger.jpg,"Apr 29, 2025 · 1:57 PM UTC",queria postar um vídeo de luta livre mas vou adiar pra não ser cancelado,['https://nitter.net/pic/orig/media%2FGptScfYXoAEUAbb.jpg'],21,15,10,670,https://nitter.net/DuolingoBrasil/status/1917216756940017745#m
Duolingo Brasil 🇧🇷,@DuolingoBrasil,https://nitter.net/DuolingoBrasil,https://nitter.net/pic/profile_images%2F1904247422626283520%2FCsUPacWT_bigger.jpg,"Apr 29, 2025 · 1:36 PM UTC",ELA VEIO,['https://nitter.net/pic/orig/media%2FGptNhf4WQAAkyzZ.jpg'],119,368,78,"7,750",https://nitter.net/DuolingoBrasil/status/1917211364789039192#m
Duolingo Brasil 🇧🇷,@DuolingoBrasil,https://nitter.net/DuolingoBrasil,https://nitter.net/pic/profile_images%2F1904247422626283520%2FCsUPacWT_bigger.jpg,"Apr 29, 2025 · 11:44 AM UTC",Acordei…mas a que custo?,['https://nitter.net/pic/orig/media%2FGpsz8v0W8AAeW_Q.jpg'],31,170,17,"2,172",https://nitter.net/DuolingoBrasil/status/1917183190516613162#m
Duolingo Brasil 🇧🇷,@DuolingoBrasil,https://nitter.net/DuolingoBrasil,https://nitter.net/pic/profile_images%2F1904247422626283520%2FCsUPacWT_bigger.jpg,"Apr 28, 2025 · 1:13 PM UTC","DEIXA EU ENCHER O SEU SACO NO ZAP TB VAI, POR FAVOR, DEIXA EU TE MANDAR MENSAGEM, POR FAVOR, VAI TER STICKER, VOCÊ VAI GOSTAR, VAI PF whatsapp.com/channel/0029VaQ…",['https://nitter.net/pic/orig/media%2FGpn-gJgWAAA50LK.jpg'],2,1,,70,https://nitter.net/DuolingoBrasil/status/1916843124422328803#m
Duolingo Brasil 🇧🇷,@DuolingoBrasil,https://nitter.net/DuolingoBrasil,https://nitter.net/pic/profile_images%2F1904247422626283520%2FCsUPacWT_bigger.jpg,"Apr 27, 2025 · 2:25 AM UTC",eu concordo,[],13,153,2,"3,842",https://nitter.net/DuolingoBrasil/status/1916317764836270370#m
Duolingo Brasil 🇧🇷,@DuolingoBrasil,https://nitter.net/DuolingoBrasil,https://nitter.net/pic/profile_images%2F1904247422626283520%2FCsUPacWT_bigger.jpg,"Apr 25, 2025 · 6:25 PM UTC",O importante é chegar com vida (opcional) nessa sexta,['https://nitter.net/pic/orig/media%2FGpZpTQHWUAACFiv.png'],23,43,8,"1,166",https://nitter.net/DuolingoBrasil/status/1915834561713315957#m
Duolingo Brasil 🇧🇷,@DuolingoBrasil,https://nitter.net/DuolingoBrasil,https://nitter.net/pic/profile_images%2F1904247422626283520%2FCsUPacWT_bigger.jpg,"Apr 24, 2025 · 1:47 PM UTC",Usem fio dental,['https://nitter.net/pic/orig/media%2FGpTgGIqWYAAgHiG.jpg'],55,172,26,"3,355",https://nitter.net/DuolingoBrasil/status/1915402161875542139#m
Duolingo Brasil 🇧🇷,@DuolingoBrasil,https://nitter.net/DuolingoBrasil,https://nitter.net/pic/profile_images%2F1904247422626283520%2FCsUPacWT_bigger.jpg,"Apr 23, 2025 · 8:33 PM UTC","ELA NÃO VEM MAIS,  O SHOW AGORA É MEU",['https://nitter.net/pic/orig/media%2FGpPzUFfXwAA939l.jpg'],86,263,26,"6,378",https://nitter.net/DuolingoBrasil/status/1915141886144098394#m
Duolingo Brasil 🇧🇷,@DuolingoBrasil,https://nitter.net/DuolingoBrasil,https://nitter.net/pic/profile_images%2F1904247422626283520%2FCsUPacWT_bigger.jpg,"Apr 23, 2025 · 1:37 PM UTC",A Lily assim,['https://nitter.net/pic/orig/media%2FGpOUMPoXgAAYcob.png'],11,19,2,832,https://nitter.net/DuolingoBrasil/status/1915037263085601111#m
Duolingo Brasil 🇧🇷,@DuolingoBrasil,https://nitter.net/DuolingoBrasil,https://nitter.net/pic/profile_images%2F1904247422626283520%2FCsUPacWT_bigger.jpg,"Apr 22, 2025 · 7:54 PM UTC",Cabritinhoh,['https://nitter.net/pic/orig/media%2FGpKg_diWwAE_kQH.jpg'],7,13,,206,https://nitter.net/DuolingoBrasil/status/1914769896165998942#m
Duolingo Brasil 🇧🇷,@DuolingoBrasil,https://nitter.net/DuolingoBrasil,https://nitter.net/pic/profile_images%2F1904247422626283520%2FCsUPacWT_bigger.jpg,"Apr 22, 2025 · 7:37 PM UTC",Você cozinhou com esse tweet,[],16,22,1,"1,223",https://nitter.net/DuolingoBrasil/status/1914765425377759576#m
Duolingo Brasil 🇧🇷,@DuolingoBrasil,https://nitter.net/DuolingoBrasil,https://nitter.net/pic/profile_images%2F1904247422626283520%2FCsUPacWT_bigger.jpg,"Apr 21, 2025 · 2:56 AM UTC",não vou cobrar vocês hoje pq tô chorando aqui com o último ep de tlou,['https://nitter.net/pic/orig/media%2FGpBuX5rXMAA3vmx.jpg'],30,58,3,"1,049",https://nitter.net/DuolingoBrasil/status/1914151200498356233#m
